Title,Latitude,Longitude 
Unimarc,-33.5351943,-70.5557076
Unimarc,-33.5807162,-70.5809208
Unimarc,-33.590141,-70.555998
Unimarc,-33.6397424,-70.7031567
Unimarc,-33.4188648,-70.697657
Unimarc,-33.7329814,-70.7391662
Unimarc,-33.7347499,-70.6838564
Unimarc,-33.731065,-70.7746145
Unimarc,-33.7629736,-70.742802
Unimarc,-33.4152959,-70.5851582
Unimarc,-33.4266524,-70.5635846
Unimarc,-33.4113567,-70.5667272
Unimarc,-33.5037182,-70.6556036
Unimarc,-33.4413613,-70.6389285
Unimarc,-33.4419894,-70.6491018
Unimarc,-33.4388169,-70.6586601
Unimarc,-33.3812576,-70.5903869
Unimarc,-33.3986558,-70.5865957
Unimarc,-33.4400744,-70.5559621
Unimarc,-33.4194361,-70.6703343
Unimarc,-33.4379894,-70.6159936
Unimarc,-33.4377748,-70.6064824
Unimarc,-33.4839565,-70.5479644
Unimarc,-33.3988462,-70.672536
Unimarc,-33.4487389,-70.8442334
Unimarc,-33.4443568,-70.7411005
Unimarc,-33.3643804,-70.4944896
Unimarc,-33.5170699,-70.6592747
Unimarc,-33.4003436,-70.7442598
Unimarc,-33.3504632,-70.6708078
Unimarc,-33.3575379,-70.5395314
Unimarc,-33.5062992,-70.6381078
Unimarc,-33.6648663,-70.9306681
Mayorista 10 ,-33.464692,-70.7228872
Mayorista 10 ,-33.4666912,-70.7242088
Mayorista 10 ,-33.6191757,-70.7002126
Mayorista 10 ,-33.5943466,-70.701804
Mayorista 10 ,-33.6120176,-70.695454
Mayorista 10 ,-33.5854485,-70.6987361
Mayorista 10 ,-33.5421213,-70.664758
Mayorista 10 ,-33.72932,-70.73982
Mayorista 10 ,-33.6076921,-70.8992997
Mayorista 10 ,-33.4448161,-70.7303213
Mayorista 10 ,-33.5542467,-70.6023927
Mayorista 10 ,-33.5203164,-70.5989889
Mayorista 10 ,-33.5351247,-70.5719507
Mayorista 10 ,-33.5268802,-70.635522
Mayorista 10 ,-33.2019441,-70.6736335
Mayorista 10 ,-33.4443658,-70.7486777
Mayorista 10 ,-33.5056678,-70.6375148
Mayorista 10 ,-33.5012571,-70.7404035
Mayorista 10 ,-33.4037208,-70.6325075
Mayorista 10 ,-33.5078205,-70.7261322
Mayorista 10 ,-33.5500357,-70.5657646
Mayorista 10 ,-33.5772106,-70.574149
Mayorista 10 ,-33.568835,-70.5832679
Mayorista 10 ,-33.483568,-70.613676
Mayorista 10 ,-33.5063161,-70.5797356
Mayorista 10 ,-33.51039,-70.6563703
Mayorista 10 ,-33.4736613,-70.6489119
Mayorista 10 ,-33.4340457,-70.6500215
ALVI,-33.5463158,-70.6339389
ALVI,-33.6671317,-70.9285577
ALVI,-33.3627663,-70.7362823
ALVI,-33.4551526,-70.7390412
ALVI,-33.3792891,-70.5282597
ALVI,-33.4433794,-70.7126768
ALVI,-33.4746398,-70.7408752
ALVI,-33.5815208,-70.5817482
ALVI,-33.5614344,-70.6806822
ALVI,-33.3902435,-70.6765698
ALVI,-33.4294128,-70.7268576
ALVI,-33.5879659,-70.6280626
ALVI,-33.5111523,-70.6374416
ALVI,-33.4123264,-70.6442014
ALVI,-33.4066977,-70.6997132
ALVI,-33.443823,-70.752852
ALVI,-33.6161273,-70.6095996
Comercial Castro,-33.7317618,-70.7482016
Comercial Castro,-33.3990499,-70.6431262
Comercial Castro,-33.5943165,-70.6844837
Comercial Castro,-33.4822969,-70.6858493
Comercial Castro,-33.6002818,-70.7111312
Comercial Castro,-33.6295697,-70.7643074
ERBI,-33.4479408,-70.6352452
ERBI,-33.4234344,-70.639947
ERBI,-33.457596,-70.6493619
ERBI,-33.4356463,-70.6799067
ERBI,-33.4426407,-70.5958164
ERBI,-33.4800822,-70.6760266
ERBI,-33.4810122,-70.5997573
ERBI,-33.5002092,-70.7191004
ERBI,-33.5284303,-70.6622255
ERBI,-33.511227,-70.719129
ERBI,-33.4256396,-70.5342558
ERBI,-33.3762939,-70.5448534
ERBI,-33.5212913,-70.7734598
ERBI,-33.3285242,-70.5201253
ERBI,-33.4560169,-70.6438582
ERBI,-33.367006,-70.688901
ERBI,-33.2361186,-70.672107
ERBI,-33.4041073,-71.1335697
ERBI,-33.493282,-70.6526527
ERBI,-33.4922627,-70.6675926
ERBI,-33.491743,-70.7149187
ERBI,-33.6371579,-70.7081581
Unimarc ,-33.54373083,-70.7795727
Unimarc,-33.5418088,-70.77094836
Unimarc ,-33.53225429,-70.77484506
Unimarc ,-33.53115527,-70.79249392
Lider ,-33.52792293,-70.77787734
Unimarc ,-33.48857747,-70.74287619
Tottus ,-33.55349949,-70.67625649
Alvi ,-33.57378059,-70.69051386
Unimarc,-33.46320079,-70.62017187
Unimarc,-33.45417175,-70.58316561
Unimarc,-33.45303164,-70.61277724
Unimarc,-70.62586153,-33.45551549
Unimarc,-33.44842737,-70.5981368
Tottus ,-33.40063721,-33.40063721
Unimarc,-33.37652243,-70.56900133
Tottus,-33.27877759,-70.62790922
Superbodega Acuenta,-33.366382,-70.714531
